side,entry,sl,tp,lots,open_idx,open_time,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,reason
short,0.72125572,0,0,1.0,1579,2022-01-06 00:00:00,0.718553682,2022-01-11 08:00:00,1599,20,0.0036462968057986668,41.04424340262012,signal
long,0.716603292,0,0,1.0,1600,2022-01-11 12:00:00,0.720975776,2022-01-12 08:00:00,1605,5,0.006001680035262816,67.803757553066,signal
long,0.725034978,0,0,1.0,1606,2022-01-12 12:00:00,0.7285042700000001,2022-01-14 04:00:00,1616,10,0.004684999490052206,53.24626850822456,signal
long,0.727285428,0,0,1.0,1617,2022-01-14 08:00:00,0.7235652579999999,2022-01-14 12:00:00,1618,1,-0.005215144421675423,-59.54919400496122,signal
long,0.721084188,0,0,1.0,1620,2022-01-14 20:00:00,0.721115748,2022-01-17 12:00:00,1624,4,-5.623257238856338e-05,-0.6387437504813325,signal
short,0.722345502,0,0,1.0,1627,2022-01-18 00:00:00,0.7211241959999999,2022-01-19 20:00:00,1638,11,0.0015907504741410352,18.06826086510498,signal
short,0.7222855140000001,0,0,1.0,1640,2022-01-20 04:00:00,0.714472866,2022-01-25 04:00:00,1658,18,0.010716564708232585,121.91585443142033,signal
long,0.7150929899999999,0,0,1.0,1659,2022-01-25 08:00:00,0.711297712,2022-01-26 20:00:00,1668,9,-0.005407390861152062,-62.175851580849965,signal
short,0.707988374,0,0,1.0,1669,2022-01-27 00:00:00,0.703480668,2022-01-27 20:00:00,1674,5,0.006266920934778027,71.66934290777034,signal
short,0.7039791759999999,0,0,1.0,1675,2022-01-28 00:00:00,0.7010801879999999,2022-01-31 00:00:00,1681,6,0.004018002490460018,46.23837949753843,signal
long,0.7021904099999999,0,0,1.0,1682,2022-01-31 04:00:00,0.706438684,2022-01-31 20:00:00,1686,4,0.005950031358303586,68.74690612983139,signal
long,0.714262824,0,0,1.0,1695,2022-02-02 08:00:00,0.711367698,2022-02-03 08:00:00,1701,6,-0.004153306293874775,-48.27299806846128,signal
long,0.713412654,0,0,1.0,1702,2022-02-03 12:00:00,0.713997172,2022-02-04 04:00:00,1706,4,0.0007193266501830704,8.325857019953487,signal
long,0.7056411,0,0,1.0,1708,2022-02-04 12:00:00,0.7082283260000001,2022-02-07 04:00:00,1712,4,0.0035664899479353647,41.31008507610238,signal
long,0.712672506,0,0,1.0,1716,2022-02-07 20:00:00,0.716416688,2022-02-10 20:00:00,1734,18,0.005153720283128251,59.907621893411694,signal
long,0.711962364,0,0,1.0,1736,2022-02-11 04:00:00,0.7130373640000001,2022-02-11 20:00:00,1740,4,0.0014099112739055517,16.473485732657082,signal
long,0.712712514,0,0,1.0,1741,2022-02-14 00:00:00,0.712187534,2022-02-14 04:00:00,1742,1,-0.0008365943345846853,-9.788598728485946,signal
long,0.709711914,0,0,1.0,1743,2022-02-14 08:00:00,0.71270743,2022-02-15 00:00:00,1747,4,0.004120749209516625,48.17462136178859,signal
long,0.7105020719999999,0,0,1.0,1748,2022-02-15 04:00:00,0.719995972,2022-02-17 12:00:00,1762,14,0.013262241116729715,155.68436040423978,signal
short,0.7183463019999999,0,0,1.0,1764,2022-02-17 20:00:00,0.717253422,2022-02-18 20:00:00,1770,6,0.0014213832060625863,16.906787977715826,signal
long,0.7198339380000001,0,0,1.0,1771,2022-02-21 00:00:00,0.721335704,2022-02-21 08:00:00,1773,2,0.0019862672912762274,23.659440927106694,signal
short,0.720325906,0,0,1.0,1774,2022-02-21 12:00:00,0.72154428,2022-02-24 00:00:00,1789,15,-0.0017914204943227769,-21.380905538270007,signal
long,0.717503472,0,0,1.0,1791,2022-02-24 08:00:00,0.7196760360000001,2022-02-25 04:00:00,1796,5,0.0029279491107467408,34.88296393040679,signal
long,0.718353642,0,0,1.0,1802,2022-02-28 04:00:00,0.725974776,2022-02-28 20:00:00,1806,4,0.010509167343791493,125.57057892777704,signal
short,0.725834804,0,0,1.0,1807,2022-03-01 00:00:00,0.726985368,2022-03-02 04:00:00,1814,7,-0.0016851595895641574,-20.34702331844613,signal
long,0.7273454399999999,0,0,1.0,1816,2022-03-02 12:00:00,0.728384294,2022-03-03 00:00:00,1819,3,0.0013282814504207857,16.01096401937707,signal
long,0.732906552,0,0,1.0,1824,2022-03-03 20:00:00,0.735282914,2022-03-04 04:00:00,1826,2,0.003142380619350802,37.92823594222915,signal
short,0.734882994,0,0,1.0,1827,2022-03-04 08:00:00,0.731526276,2022-03-07 20:00:00,1836,9,0.004467690404331272,54.09405092396094,signal
short,0.733563258,0,0,1.0,1837,2022-03-08 00:00:00,0.7276354979999999,2022-03-09 04:00:00,1844,7,0.00798077549598328,97.06161227261565,signal
long,0.734816934,0,0,1.0,1852,2022-03-10 12:00:00,0.7336132479999999,2022-03-11 04:00:00,1856,4,-0.0017380760218028571,-21.307054874414572,signal
short,0.732363498,0,0,1.0,1858,2022-03-11 12:00:00,0.727765524,2022-03-14 00:00:00,1861,3,0.006178267571440254,75.60767366035685,signal
short,0.7244050900000001,0,0,1.0,1864,2022-03-14 12:00:00,0.71884374,2022-03-14 20:00:00,1866,2,0.007577127172035927,93.2993615306169,signal
long,0.721084188,0,0,1.0,1870,2022-03-15 12:00:00,0.717876396,2022-03-16 00:00:00,1873,3,-0.004548567938921422,-56.432212977078684,signal
long,0.72074412,0,0,1.0,1874,2022-03-16 04:00:00,0.732223526,2022-03-17 08:00:00,1881,7,0.015827158725901184,195.46789182862543,signal
long,0.738017574,0,0,1.0,1885,2022-03-18 00:00:00,0.740121946,2022-03-21 04:00:00,1892,7,0.0027513846744793386,34.51783948544331,signal
short,0.740191932,0,0,1.0,1894,2022-03-21 12:00:00,0.740388048,2022-03-21 16:00:00,1895,1,-0.00036495290143208955,-4.591159514125323,signal
